=== KẾT QUẢ TỐI ƯU HÓA LỘ TRÌNH (OR-TOOLS) ===
Tổng quãng đường: 721.66 km
Số lượng xe sử dụng: 160
Thời gian giới hạn: 10 giây
------------------------------
Lộ trình chi tiết:
Route #1: 661 259 233 1474 1337 514 877 593 826
Route #2: 1513 1441 994 1542 68 817 176 22 1165 1215
Route #3: 513 381 190 299 1060 56 1260 746 1435 1515
Route #4: 1263 1598 196 1511 380 842 405 1174 106 188
Route #5: 721 984 264 442 785 767 1005 573 433 696
Route #6: 729 535 1366 58 1292 980 1570 1373 138 1116
Route #7: 3 254 1532 1123 981 365 1314 1102 104 494
Route #8: 270 154 245 1221 871 441 1176 1136 1303 815
Route #9: 309 1160 491 974 690 599 892 1415 1426 1129
Route #10: 769 1066 644 282 1235 856 510 1322 742 939
Route #11: 597 256 48 886 293 988 1317 1191 1007 1530
Route #12: 1188 342 1397 57 226 423 252 174 67 1233
Route #13: 1313 1301 359 681 228 1272 300 979 399 1464
Route #14: 536 1400 448 1193 1487 1205 1510 165 957 929
Route #15: 304 396 1418 272 114 1472 1456 62 262 238
Route #16: 1124 229 1501 633 368 921 1175 935 1084 1566
Route #17: 504 553 1138 1278 183 326 192 1149 1069 1587
Route #18: 204 1569 642 937 571 250 311 125 1480 619
Route #19: 1121 1522 1383 629 662 1162 1150 417 1339 1145
Route #20: 69 1516 564 260 507 1358 324 1500 1442 617
Route #21: 668 707 667 918 1546 1455 740 483 161 677
Route #22: 1394 1582 1405 713 1096 825 1070 976 1061 163
Route #23: 936 134 401 302 107 947 1393 546 1091 487
Route #24: 1423 105 7 1028 657 647 692 363 1027 1553
Route #25: 1282 818 605 814 40 1477 1489 977 831 641
Route #26: 675 460 144 1466 1315 1043 500 998 1483 672
Route #27: 1367 529 130 1239 1306 1185 1590 391 561 47
Route #28: 331 538 27 949 348 1279 1325 1031 926 1284
Route #29: 164 341 866 543 202 337 315 854 122 1359
Route #30: 411 1184 445 1398 653 1360 807 1100 908 1596
Route #31: 139 81 1294 847 1293 1032 1024 1424 971 1380
Route #32: 117 213 367 1189 1048 1427 116 1340 1164 1021
Route #33: 420 735 328 98 307 741 1246 654 59 537
Route #34: 757 251 390 942 143 32 109 643 247 493
Route #35: 1291 704 195 38 321 211 776 1296 1166 1497
Route #36: 1038 477 376 336 600 945 452 1449 1099 9
Route #37: 160 146 50 791 899 679 171 1256 74 236
Route #38: 46 934 806 604 688 1378 790 481 519 532
Route #39: 778 1309 799 1265 1167 1390 1305 680 960 841
Route #40: 429 985 1295 306 552 181 862 26 428 384
Route #41: 1244 1597 788 1395 1113 589 413 1558 1355 734
Route #42: 498 1527 335 803 184 978 1525 19 173 1454
Route #43: 636 1578 1490 263 1107 1437 243 1019 1580 1139
Route #44: 1391 986 466 586 743 833 1399 1478 1351 1571
Route #45: 1199 159 1072 663 845 1208 1376 1090 142 932
Route #46: 352 386 437 1372 539 249 870 684 1196 167
